237.48 18.35 270.35 124.37 -36.39 200.93
270.35 124.37 237.48 18.35 287.37 138.31 128.22 214.06
287.37 138.31 270.35 124.37 265.97 273.87 810.91 254.65
128.22 214.06 270.35 124.37 227.93 307.90 -36.39 200.93
265.97 273.87 287.37 138.31 227.93 307.90 489.86 301.86
227.93 307.90 128.22 214.06 265.97 273.87 221.98 406.03
-36.39 200.93 237.48 18.35 128.22 214.06 -103.57 209.45
-103.57 209.45 -36.39 200.93 216.67 416.67
489.86 301.86 265.97 273.87 221.98 406.03 810.91 254.65
221.98 406.03 227.93 307.90 489.86 301.86 216.67 416.67
216.67 416.67 -103.57 209.45 221.98 406.03
810.91 254.65 287.37 138.31 489.86 301.86
